1,活跃度,点赞数,互粉数,出生日期,品牌名,城市级别,评论数,发表日期,正负面,文章类型,关注数,性别,id,总互动量,是否主贴,搜索关键词,分词,爱好,用户名,原文地址,用户标注情感,价格标签,省份,阅读数,具体城市,粉丝数,微博转发层级,转发数,原微博ID,原微博内容,情感,店名,抓取来源,微博数,标签,发布终端,内容,标题,用户标志,是否为水军,认证类型,产品名
2,,0,3,1993,tian_三九,二线城市,0,2015/8/2 12:49,,原创,81,女,3.87137E+19,0,1,流鼻涕,突然|见到|小学|三年级|同桌|每天|流鼻涕|三八线|还手|一脚|踢飞|一瓶|矿泉水|男孩子|鼻炎|好了没,,叁柒公子,http://weibo.com/2303909265/CtWLG9PX6,,,山东,,济南,57,,0,,,-1,,新浪微博,719,未打标签,微博 weibo.com,突然好想见到小学三年级那个跟我同桌，每天流鼻涕被我划三八线打他也不还手经常被我一脚踢飞而且有次惹到我被我浇了一瓶矿泉水的男孩子啊，想问，你鼻炎好了没？,,2303909265,真实用户,普通用户,感冒
3,,0,58,,tian_三九,五线城市,0,2015/8/2 12:04,,原创,369,女,3.87136E+19,0,1,流鼻涕,分享|小叶|医师|小儿推拿|孩子|感冒|流鼻涕| - |近日|气温|骤降|许多|宝宝|鼻涕虫|附身|爸爸妈妈|一阵阵|心疼|宝宝|感冒|分清|孩子|来自,,洋洋得儿亿,http://weibo.com/1787124350/CtWtheABc,,,海南,,,253,,0,,,-1,,新浪微博,1248,未打标签,bShare分享,分享自小叶医师《【小儿推拿】孩子感冒流鼻涕怎么办？》 - 近日气温骤升骤降，许多宝宝都鼻涕虫附身，看的爸爸妈妈一阵阵的心疼。那么，宝宝感冒了怎么办呢？   首先，要分清孩子的...  (来自 @头条博客)   http://t.cn/RLORp20,,1787124350,真实用户,普通用户,感冒
4,,0,358,,tian_三九,三线城市,0,2015/9/22 11:43,,原创,605,女,3.88984E+19,0,1,伤风,自用|推荐|vicks|儿童|止咳|伤风|按摩|妈妈|注意|轻轻|按摩|发热|效果|三个|地方|按摩|脚心|前胸|蝴蝶|中间|凹陷|部分|宝宝|两肩|连线|中间|部分|宝宝|乳头|连线|中间|3处|体内|寒气|逼走|冬季|必备|对了|医院,,Sexy_Xin,http://weibo.com/1738256340/CBH7Xiuza,,,广东,,佛山,1556,,0,,,1,,新浪微博,980,未打标签,Android客户端,自用款推荐[good]Vicks儿童通鼻止咳伤风按摩膏[给力]妈妈们注意：一定要轻轻按摩至发热才有效果，而且有三个地方要按摩到：1脚心；2前胸蝴蝶骨中间凹陷部分，或宝宝两肩连线中间部分；3宝宝乳头连线中间点。尽量在这3处撮热，只有这样才能把体内寒气逼走。冬季必备！用对了，绝对省你跑医院！,,1738256340,真实用户,普通用户,感冒
5,,0,36,,tian_三九,三线城市,2,2015/12/13 22:55,,原创,152,女,3.91972E+19,2,1,咽喉炎,好孩子|之后|舒服|2年|医院|20年|小毛病|总是|频发|智齿|咽喉炎|鼻炎|甲状腺|总是|隐患|有时|担心|得了|癌症|盘算|遗愿,歌手,花开堪折直须折J,http://weibo.com/2198866257/D8h714EgL,,,浙江,,湖州,238,,0,,,-1,,新浪微博,1139,未打标签,iPhone客户端,生好孩子之后各种不舒服，这2年跑的医院比我20年前还多，各种小毛病总是频发，智齿咽喉炎鼻炎甲状腺总是个隐患，有时甚至担心自己得了癌症，还盘算遗愿呢，我得个神阿！,,2198866257,真实用户,普通用户,发炎
6,,28,36,1970,tian_三九,一线城市,2,2015/12/20 10:00,,原创,64,女,3.92207E+19,117,1,退烧,疾病防治|宝宝|发烧|该吃|美林|泰诺林|1.|小于|6个|宝宝|能吃|6个|能吃|美林|布洛芬|2.|宝宝|大于|6个|退烧|首选|泰诺林|乙酰|氨基|泰诺林|下来|考虑|要用|美林|布洛芬|美林|首要|药效|消炎|3.|宝宝|美林|体重|剂量|估算|剂量,,怀孕育儿一点通,http://weibo.com/2397991440/D9g1Uqr96,,,北京,,东城区,445506,,87,,,1,,新浪微博,22183,未打标签,皮皮时光机,#疾病防治# 【宝宝发烧后该吃美林还是泰诺林？】1.小于6个月的宝宝只能吃泰诺林，6个月以上才能吃美林（布洛芬）。2.宝宝大于6个月，退烧首选泰诺林（乙酰氨基酚），只有吃了泰诺林烧退不下来，才会考虑到要用美林（布洛芬），美林首要药效是消炎。3.给宝宝吃美林，要按照体重给剂量，不能估算剂量。,疾病防治,2397991440,真实用户,普通用户,发烧
7,,1,93,,tian_三九,二线城市,17,2015/10/19 7:15,,原创,290,女,3.89956E+19,18,1,高烧,20151019|宝宝|24日|月子|进入|尾声|一次|挤奶|精神|崩溃|第三次|高烧|第五次|不禁|动摇|母乳喂养|信心|不禁|怀疑|一直|坚持|努力|看着|模样|真的|享受|母乳|营养|不想|留下|遗憾|不想|亏欠,吸血鬼日记|婚纱|公务员|时尚|导盲犬,杜闷闷,http://weibo.com/1583579522/CFLUFw705,,,山东,,济南,820,,0,,,1,,新浪微博,1791,未打标签,iPhone 6 Plus,20151019～。事宝宝24日。月子进入尾声。 再一次的挤奶堵奶。精神好崩溃。第三次的高烧。第五次的推奶。不禁开始动摇母乳喂养的信心。不禁开始怀疑自己一直的坚持努力。 但是看着事宝的小模样。真的想让他享受母乳的营养。不想留下遗憾。不想亏欠他。,,1583579522,真实用户,普通用户,发烧
8,,0,2,1991,tian_三九,一线城市,0,2015/10/19 4:05,,原创,38,女,3.89951E+19,0,1,高烧,一个|晚上|烧着|泰诺林|不管用|只能|美林|中间|抖动|打算|明早|医院|看看|看着|宝贝|憔悴|好多|眼神|呆滞|心疼|生病|讨厌,街拍|时尚|潮流|摄影,夏天的春秋冬夏,http://weibo.com/2491304267/CFKFqbuUi,,,上海,,,109,,0,,,-1,,新浪微博,292,未打标签,iPhone 5s,一个晚上都高烧着 泰诺林吃了已经不管用了。只能换美林… 中间还有些抖动 打算明早去医院看看了 看着宝贝的脸都憔悴了好多 眼神都有些呆滞了  好心疼…生病实在是太讨厌了,,2491304267,真实用户,普通用户,发烧
9,,0,1,,tian_三九,二线城市,0,2016/2/27 23:48,,原创,66,女,3.94728E+19,0,1,退烧,九点|发现|宝贝|呼吸|越来越|急促|量体温|38度|宝贝|退烧|11点|再次|测量体温|最高|39.4|宝贝|降温|宝贝|不肯|喝水|只好|宝贝|喝喝|一会儿|宝贝|害怕|……,,小马不笨,http://weibo.com/1436020642/DjPWyau9F,,,湖北,,武汉,122,,0,,,1,,新浪微博,1052,未打标签,宝宝日历,九点多发现宝贝的呼吸越来越急促，小脸很烫，量体温38度多，立马给宝贝贴上退烧贴。11点再次测量体温最高到39.4，起来给宝贝降温，宝贝不肯喝水只好冲果珍给宝贝喝喝了不少，可是一会儿全吐了。宝贝害怕得哭起来……,,1436020642,真实用户,普通用户,发烧
10,,0,20,,tian_三九,三线城市,3,2016/2/27 22:59,,原创,201,女,3.94727E+19,3,1,退烧,医师|您好|我家|宝宝|5个|多月|过完|初六|初七|流鼻涕|感冒|期间|一次|低烧|退热|后退|今日|出现|低烧|期间|去过|4次|医院|不见|医生|诊断|支气管炎|白天|流鼻涕|晚上|咳嗽|咳嗽|喉咙|食欲|下降|咳嗽|越来越|严重|……|需要|输液|期盼,湖南卫视|时尚|保?|歌手|美?,MissGod丶,http://weibo.com/1280445911/DjPCJx0HD,,,广东,,深圳,260,,0,,,-1,,新浪微博,3164,未打标签,iPhone 6 Plus,@崔玉涛 崔医师您好！我家宝宝5个多月，过完年初六初七开始流鼻涕感冒，期间有一次低烧，用退热贴后退烧，今日又出现低烧…此期间去过4次医院，开了各种药，吃了都不见好，医生诊断为支气管炎，白天流鼻涕晚上咳嗽，一咳嗽就吐奶，喉咙有痰…食欲下降…咳嗽越来越严重……需要输液吗？期盼您回复！,,1280445911,真实用户,普通用户,发烧
11,,0,2,1983,tian_三九,二线城市,0,2016/2/27 22:59,,原创,12,男,3.94727E+19,0,1,退烧,256|高烧|三天|昨天|退烧|今天|幼儿|身体|不适|导致|玩的|心情|表情|特别|再过|三天|恢复|体力|一个|劳模,旅行|工作|看书,多啦A梦和麦兜的奇妙旅程,http://weibo.com/1843763511/DjPCmdN9a,,,浙江,,杭州,52,,0,,,-1,,新浪微博,387,未打标签,iPhone 6s,D256:高烧三天，昨天退烧，今天出疹。果然是幼儿急疹，身体不适导致出去玩的时候，心情和表情都特别酷。再过三天，恢复体力后我又是一个劳模??,,1843763511,真实用户,普通用户,发烧
12,,6,141,,tian_三九,三线城市,4,2016/2/27 22:15,,原创,326,女,3.94726E+19,10,1,退烧,儿童|退烧药|炒鸡|好喝|果汁,音乐|Jordan|时尚|adidas|护肤,_Alyookm,http://weibo.com/3419738742/DjPkIzID3,,,内蒙古,,乌海,1528,,0,,,1,,新浪微博,216,未打标签,iPhone客户端,儿童退烧药炒鸡好喝哎，喝起来像果汁,,3419738742,真实用户,普通用户,发烧
13,,0,57,1983,tian_三九,一线城市,0,2016/2/27 21:28,,原创,217,女,3.94724E+19,0,1,退烧,2016.2.27|笑笑|29|1398天|退烧|小孩儿|昨晚|很好|一起|大大的|懒觉|出去玩|在家|涂涂|画画|吃吃喝喝|动画片|中午|悄悄|告诉|奶奶|宝贝|拿出|一罐|玻璃球|奶奶|拿出|棋盘|爷爷|笑笑|玩儿|跳棋|生病|脾气|见长|假期|百依百顺|小毛病|近期|老娘,美食|演员|时尚|旅游|咖啡,我是笑妈妈,http://weibo.com/1659822657/DjP1DEHVE,,,北京,,海淀区,474,,0,,,1,,新浪微博,4367,未打标签,三星Galaxy Note3,2016.2.27笑笑3Y+9M+29D，1398天，退烧的小孩儿昨晚睡的很好，今早我们一起睡了个大大的懒觉，不能出去玩在家就是涂涂画画吃吃喝喝看动画片。中午悄悄告诉我奶奶屋有宝贝说着拿出一罐玻璃球，奶奶拿出棋盘爷爷教笑笑玩儿跳棋。生病后脾气见长加上假期里人人对她百依百顺小毛病添了不少，近期不要惹老娘。,,1659822657,真实用户,微博达人,发烧
14,,0,45,,tian_三九,其他,0,2016/2/28 0:49,,原创,154,女,3.94729E+19,5,1,退烧,小精灵|长大|14|5d|27号|中午|发烧|精神|不错|开心|温度计|38.1度|下午|5点|38.7度|退烧药|睡一觉|7点|愿意|晚饭|洗完|浑身|滚烫|无力|不愿意|喝水|想睡觉|夜里|12点|39.3度|退烧药|我猜|幼儿,音乐,jingshangwa,http://weibo.com/1436002625/DjQli7iD2,,,海外,,新加坡,50,,5,,,1,,新浪微博,1936,未打标签,iPhone 6s Plus,#小精灵在长大# 14m5d，27号中午开始发烧，但是精神还不错，还开心的笑，温度计量了38.1度。下午5点半量到38.7度，喂了退烧药。睡一觉7点起来烧退了些，还愿意吃了晚饭。洗完澡后浑身滚烫，无力，不愿意喝奶喝水，就想睡觉。夜里12点半量到39.3度，喂退烧药。我猜是幼儿急疹,小精灵在长大,1436002625,真实用户,普通用户,发烧
15,,0,328,,tian_三九,三线城市,0,2016/3/7 10:57,,原创,1642,女,3.95035E+19,0,1,痰多,三月|四月|羊肚|这种|嫩芽|特别|适合|小孩子|生病|身体|强壮|秘诀|..年年|羊肚|八十|满山|肠胃|消化|化痰|理气|补肾|壮阳|补脑|提神|功能|脾胃|虚弱|消化不良|气短|头晕|失眠|良好|作用|具有|滋补|健身|预防|感冒|增强|人体|免疫力|功效,美食|电影|旅游|时尚,玻璃心_生活滋补品,http://weibo.com/3940999759/Dl7JX0Rsl,,,广东,,揭阳,3484,,0,,,1,,新浪微博,3375,未打标签,iPhone客户端,????三月四月请多吃羊肚菌，这种嫩芽级特别适合给小孩子吃，不生病身体强壮的秘诀..年年吃羊肚，八十满山走?益肠胃、消化助食、化痰理气、补肾、壮阳、补脑、提神之功能，对脾胃虚弱、消化不良、痰多气短、头晕失眠有良好的作用、具有滋补强健身体、预防感冒、增强人体免疫力的功效。,,3940999759,真实用户,普通用户,咳嗽
16,,0,1206,,tian_三九,三线城市,0,2016/3/7 8:44,,原创,3041,女,3.95031E+19,0,1,痰多,早安|分享|宝宝|孩子|几种|原因|第一|气管|炎症|孩子|平时|喊叫|第二|孩子|第三|吃的|食物|甜食|东西|容易|咳嗽|注意|风寒|感冒|咳嗽|咳嗽|即可|感冒|咳嗽|针灸|效果|家中,处女座|电影|旅行|时尚|旅游,NuStar-小婉,http://weibo.com/2025245593/Dl6RXCBIw,,,广东,,清远,8209,,0,,,-1,,新浪微博,8833,未打标签,iPhone 6 Plus,?早安分享【宝宝痰多怎么办？】??????  孩子痰多有几种原因，第一：气管和肺有炎症，或是孩子平时喊叫较多。第二：孩子有火。第三：吃的食物（甜食，咸食，凉食，肉）这些东西都是容易生痰的，咳嗽时应多注意！风寒感冒咳嗽，用咳嗽灸即可！风热感冒咳嗽，用艾针灸效果好！家中备,,2025245593,真实用户,微博达人,咳嗽
17,,0,2537,1993,tian_三九,二线城市,0,2016/2/17 17:00,,原创,3034,女,3.94355E+19,0,1,着凉,睡袋|宝宝秀|保护|宝宝|着凉|三个|拉链|设计|尿不湿|方便,旅行|减肥|时尚|运动|护肤,李雪琴Tong,http://weibo.com/2684071377/DigZXDRfU,,,江苏,,南京,5240,,0,,,1,,新浪微博,1416,未打标签,iPhone 6s Plus,彩羊分腿睡袋宝宝秀～保护宝宝不着凉，三个拉链扣设计换尿不湿也很方便哦,,2684071377,真实用户,普通用户,感冒
18,,1,65,2000,tian_三九,二线城市,2,2016/2/17 15:52,,原创,218,女,3.94354E+19,3,1,着凉,名流|cp|日常|汉子|着凉|皮儿|看着|给我|甜甜圈|柠檬茶|宝宝|内心|崩溃,鹿晗|luhan,M浅鹿M,http://weibo.com/2667541693/Digyc6Std,,,福建,,福州,434,,0,,,1,,新浪微博,14123,未打标签,iPhone客户端,#名流cp的日常# 在我和糙汉子一样吃着凉皮儿看着剧的时候我姨给我带了甜甜圈柠檬茶来[拜拜]宝宝内心是崩溃的,名流cp的日常,2667541693,真实用户,普通用户,感冒
19,,0,19,,tian_三九,三线城市,7,2016/3/6 15:02,,原创,384,女,3.95005E+19,7,1,高烧,知道|很多人|乳腺炎|发作|高烧|40度|哆哆嗦嗦|发抖|还要|照顾|孩子|起夜|换尿布|觉得|可怜,电影|分娩|设计|教育|育儿,殊与妙,http://weibo.com/1299694805/DkZUNm1KL,,,江苏,,苏州,243,,0,,,-1,,新浪微博,405,未打标签,iPhone 6,我知道很多人都比我惨，但乳腺炎发作高烧到40度，哆哆嗦嗦发抖，还要照顾孩子起夜换尿布抱着哄他的时候，还是觉得自己好可怜。,,1299694805,真实用户,普通用户,发烧
20,,0,11,1989,tian_三九,三线城市,0,2015/7/24 22:30,,原创,4,女,3.86826E+19,0,1,伤风,宝贝|伤风|希望|越来越|严重,,他们叫我猫儿,http://weibo.com/1908779275/CsDITuI89,,,四川,,达州,401,,0,,,-1,,新浪微博,2142,未打标签,iPhone 5s,宝贝热伤风，希望不要越来越严重！,,1908779275,真实用户,普通用户,感冒
21,,1,15,1994,tian_三九,其他,3,2016/4/20 13:57,,原创,298,女,3.96634E+19,4,1,受凉,宝宝|好像|发烧|喉咙|是不是|感冒|预兆|没关系|丢人|微博|几个|看到|脆弱|一面|几个|亲密|小伙伴|看到|大半年|受凉|感冒|头晕,南京|旅行|演员|教育|健康,生于仲夏的微胖柳儿,http://weibo.com/2288437401/DrPIVrHJY,,,海外,,其他,125,,0,,,-1,,新浪微博,1134,未打标签,iPhone客户端,宝宝好像发烧了。喉咙疼头很晕这是不是感冒的预兆[泪]没关系说出来不丢人微博没几个人能看到我脆弱的一面因为只有几个亲密的小伙伴能看到。妈蛋我已经大半年没受凉感冒了！！！头晕！[生病],,2288437401,真实用户,普通用户,感冒
22,,0,71,1986,tian_三九,二线城市,0,2016/4/20 13:28,,原创,218,女,3.96633E+19,0,1,受凉,阿洋|发烧|昨天上午|阿沐|晒太阳|光脚|地上|受凉|心疼|指望|好听|劳做|月子|过来|受罪|指望|像是|坐月子|以后|肯定|小孩|真是|烦死,主持人,喧闹的幸福着,http://weibo.com/1771344121/DrPxbm1FH,,,安徽,,合肥,553,,0,,,1,,新浪微博,1546,未打标签,iPhone 5s,阿洋发烧，昨天上午我带阿沐晒太阳，他光脚在地上跑，就这样受凉了，挺心疼的，谁都指望不上，讲好听过劳做月子，其实过来受罪还差不多！什么事都指望你，我还像是坐月子么？以后她肯定又讲小孩不要我怎搞！烦！真烦！真是烦死了！ http://t.cn/Ryh9vx4,,1771344121,真实用户,微博达人,感冒
23,,0,53,1988,tian_三九,一线城市,0,2015/11/3 14:44,,转发,346,女,3.90511E+19,0,1,受凉,,海贼王|漫画|音乐|医生|藤井莉娜,小璇小朋友是年糕酱小姐,http://weibo.com/1309620003/D28O8hycv,,,北京,,海淀区,479,,0,3.90506E+15,宝宝的舒适小鞋子，怎么挑？_新浪育儿_新浪网 http://t.cn/Rw7rC7w,0,,新浪微博,10566,未打标签,360安全浏览器,@超嫩不怕远征难 //@张思莱医师: 回复@腰腰米:可以穿着袜子呀！ //@腰腰米:想问问张医师，都说让宝宝赤脚练习站立走路比较好，但是现在天凉了室内没有暖气，赤脚会不会受凉呢？,,1309620003,真实用户,微博达人,感冒
24,,0,24,,tian_三九,三线城市,0,2016/4/20 16:35,,原创,85,女,3.96638E+19,0,1,受凉,47|变化无常|天气|及时|宝宝|衣服|导致|受凉|晚上|睡觉|鼻子|不通|呼吸|不畅|平躺|床上|半个|小时|脸红|口水|抱起|呼吸|畅通|一点|平躺|觉得|宝宝|可怜|凌晨|四点|打电话|解决|问题|寻求|心里|安慰,健康|早教,少说多做-自己疼自己,http://weibo.com/1911122034/DrQL3fSKm,,,湖南,,衡阳,315,,0,,,-1,,新浪微博,525,未打标签,iPhone客户端,D47：可能因为变化无常的天气，没有及时为宝宝添减衣服，导致有点受凉，晚上睡觉鼻子不通，呼吸不畅，奶睡后，平躺床上睡半个小时就憋醒，脸红，吐奶，吐口水，抱起呼吸畅通一点就睡，平躺又憋醒，觉得宝宝好可怜，凌晨四点给宝爸打电话没有解决啥问题，寻求点心里安慰而已,,1911122034,真实用户,普通用户,感冒
25,,0,15,2014,tian_三九,二线城市,0,2015/7/31 14:08,,原创,18,女,3.87067E+19,0,1,低烧,mumu|23|20150730|白天|精神|不好|午睡|37度|低烧|晚上|心急火燎|回家|打算|带去|医院|到家|好转|小区|广场|玩的|开心|好转|加油|彻底|折磨|小孩|生病|全家|唉声叹气,,苜蓿苜苜,http://weibo.com/5147160868/CtEqD7TP1,,,江苏,,南京,30,,0,,,-1,,新浪微博,739,未打标签,iPad客户端,Mumu 1Y5M23D（20150730）白天精神不好，午睡时37度多的低烧，晚上心急火燎地回家打算带去医院了，结果到家后又好转了起来，在小区广场玩的开心呢。唉，既然好转了就加油彻底好起来呀，不要再折磨我们了[泪]小孩生病全家唉声叹气[悲伤],,5147160868,真实用户,普通用户,发烧
26,,0,7,,tian_三九,一线城市,0,2016/5/14 18:15,,原创,37,女,3.9751E+19,0,1,祛痰,小儿感冒|正确|祛痰|关键,,覃逢雨,http://weibo.com/2597393672/DvvFzsU18,,,重庆,,黔江区,45,,0,,,1,,新浪微博,64,未打标签,微博 weibo.com,小儿感冒正确祛痰很关键 http://t.cn/RqgCFFm,,2597393672,真实用户,普通用户,咳嗽
