发表日期	产品名	抓取来源	是否天猫超市	是否天猫	原文地址	店名	内容	标题	内容_维度	内容_属性	内容_情感	内容_正负面
2016/7/26 6:15	绅士牌-腰果	淘宝网			http://item.taobao.com/item.htm?id=526342739436	美捷星	好评！	【试吃】美国进口小吃/坚果Planters Cashews绅士有盐腰果100g				
2016/7/26 12:45	绅士牌-组合	淘宝网			http://item.taobao.com/item.htm?id=14328691429	美食shop	好评！	美国进口Planters Mixed Nut绅士什锦果仁/综合混合坚果292g				
2016/7/26 12:46	绅士牌-花生	淘宝网			http://item.taobao.com/item.htm?id=15895737888	美食shop	好评！	新货 美国进口小吃/坚果/零食Planters 绅士鸡尾花生340g				
2016/7/26 16:38	绅士牌-花生	淘宝网			http://item.taobao.com/item.htm?id=520787033527	咸甜零食	好评！	美国进口 Planters Peanuts绅士干焗烘烤花生453g小吃/坚果大包装				
2016/7/26 17:00	绅士牌-花生	淘宝网			http://item.taobao.com/item.htm?id=522198615064	哈里美汇halimeihui	好！	国外零食/Planters绅士花生 蜂蜜烤花生340g 小吃 坚果 进口零食				
2016/7/26 17:00	绅士牌-腰果	淘宝网			http://item.taobao.com/item.htm?id=522585771435	哈里美汇halimeihui	好！	美国进口绅士牌Planters  半腰果 果仁 226g 进口零食 灌装				
2016/7/26 23:27	绅士牌-花生	淘宝网			http://item.taobao.com/item.htm?id=536107689888	美食shop	好评！	美国进口坚果零食小吃planters绅士牌甜脆花生283g				
2016/7/27 9:56	绅士牌-组合	淘宝网			http://item.taobao.com/item.htm?id=530939836502	美食专家团	好评！	包邮 美国Planters绅士 腰果/花生三种口味混合装 24袋/盒 1130g				
2016/7/27 10:18	绅士牌-花生	京东商城			http://club.jd.com/repay/1096358836_f3dc37b6-a3cc-47f8-a4e0-7a89d60c62e1_1.html	麦维坊京东店	好吃，家里老老小小都喜欢。	美国进口坚果休闲零食Planters绅士原味烘烤花生仁453g 花生米	产品|产品	喜好度|味道	喜欢|好吃	正面|正面
2016/7/27 13:01	绅士牌-花生	京东商城			http://club.jd.com/repay/3260374_416b36be-b224-484b-b344-50c6b45fd6cb_1.html		原装进口，口味纯正，跟在国外吃的一样的，以后还要来买~	美国进口 绅士牌（planters) 美式甜脆花生283g	品牌|安全性|产品	回头率|货源|味道	以后还要来|原装|纯正	正面|正面|正面
2016/7/27 13:05	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_664e9034-9123-45ad-9399-747841d74a86_1.html		隔天到货，坚果好好吃	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	服务|产品	物流|味道	NULL|好吃	中性|正面
2016/7/27 13:18	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_22e093c2-568e-4241-996e-49e93e856b26_1.html		阿天到货，好吃！	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	服务|产品	物流|味道	NULL|好吃	中性|正面
2016/7/27 13:20	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_80426595-8248-43cc-8eb0-e4d3ea403610_1.html		吃着不错丫，美国绅士花生	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g				
2016/7/27 13:27	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_02a69e35-d2b2-4656-bcaf-3517f90f87db_1.html		好吃！新鲜！生产日期不像其他坚果那样大半年过去了。京东购买方便！快！划算！	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	价格感知|产品|安全性|服务|安全性	价格|味道|货期|物流|货期	划算|好吃|新鲜|方便|大	正面|正面|正面|正面|正面
2016/7/27 13:28	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_61017d21-f9b7-4033-b4ad-27ae70a346e7_1.html		好评	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g				
2016/7/27 13:32	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_06ff605d-f2e0-4651-89a2-c3f933cc8a41_1.html		价格美丽，快递给力~~~~~~	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	价格感知|服务	价格|物流	美丽|给力	正面|正面
2016/7/27 13:32	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_8e7efd3d-1315-460c-8f77-55af365329f9_1.html		很大的一盒啊。。。。现在还特价	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	价格感知	促销活动	特价	正面
2016/7/27 13:34	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_6ebeace1-3685-47a7-8950-33455021698d_1.html		不错。。。。。。？？？	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g				
