活跃度,点赞数,互粉数,出生日期,品牌名,地理位置,checkinCity,checkinGPS,城市级别,评论数,发表日期,搜索引擎,属性,维度,特征情感对,特征词,情感值,正负面,文章类型,粉丝数级别,关注数,性别,id,总互动量,是否主贴,搜索关键词,分词,keywords_nickname,keywords_title,爱好,微博唯一标识,用户名,nickname_seg,包含图片,原文地址,用户标注情感,价格标签,产品ID,产品名,省份,阅读数,具体城市,粉丝数,微博转发层级,转发数,原微博ID,retweetedNickname,retweetedPid,原微博内容,retweetedUid,情感,店名,抓取来源,微博数,特殊结构,标签,任务ID,发布终端,内容,title_seg,标题,踩数,用户标志,是否为水军,认证类型,人工情感值判断
,,,,peiling-亨氏,,,,,,2016/5/31 16:03,,适应性,产品,宝宝-不怎么喜欢,宝宝,负面,不怎么喜欢,,,,,1464681780124京东商城|271ace6b0352f6c0da16796a815bcded17493b39f7044acd5ea6b6151042299a70475508,0,1,方广 米粉,一股|味道|宝宝|喜欢,,方广|宝宝辅食|超值|dha|aa|胡萝卜|营养米粉|18个|宝宝|适用|400|16|小袋|分装,,1464681780124京东商城|271ace6b0352f6c0da16796a815bcded17493b39f7044acd5ea6b6151042299a,,,,http://club.jd.com/review/1357118-0-1-0.html,,NONE,5508,婴儿辅食-方广-米粉,,,,,,,,,,,,1,方广京东自营旗舰店,京东商城,,,未打标签,7047,,有一股味道，宝宝不怎么喜欢,方广 宝宝辅食 超值装 DHA+AA胡萝卜营养米粉（6-18个月宝宝适用） 400g（16小袋分装）,方广 宝宝辅食 超值装 DHA+AA胡萝卜营养米粉（6-18个月宝宝适用） 400g（16小袋分装）,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:08,,包装,渠道,包装-破损,包装,负面,破损,,,,,1464682080124京东商城|8ebf412c838700987dc1508b98370d79b19d5adc685557c0d1b31017f981633470475527,0,1,亨氏 面条,包装|破损|不满意,,heinz|婴儿|面条|营养|面条|金装智|面条|婴幼儿|儿童|辅食|胡萝卜|西兰花|香菇,,1464682080124京东商城|8ebf412c838700987dc1508b98370d79b19d5adc685557c0d1b31017f9816334,,,,http://club.jd.com/review/1617871320-0-1-0.html,,NONE,5527,婴儿辅食-亨氏-面类,,,,,,,,,,,,-1,耀邦母婴专营店,京东商城,,,未打标签,7047,,包装破损，不满意。,亨氏Heinz 婴儿面条优加营养面条金装智多多面条婴幼儿儿童辅食 胡萝卜+西兰花香菇,亨氏Heinz 婴儿面条优加营养面条金装智多多面条婴幼儿儿童辅食 胡萝卜+西兰花香菇,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:14,,货源,渠道,[hidden]-不像正品,[hidden],负面,不像正品,,,,,1464682454124天猫商城|104572cd06a69a909d17a48f772ab84901a341b458ffb9d05ce97f0680ea6e8170475520,0,0,英吉利 米粉,宝宝|正品,,英吉利|米粉|婴儿|米粉|婴幼儿|ad|铁锌|小米|米粉|宝宝辅食|营养米粉,,1464682454124天猫商城|104572cd06a69a909d17a48f772ab84901a341b458ffb9d05ce97f0680ea6e81,,,,http://detail.tmall.com/item.htm?id=38375822908,,NONE,5520,婴儿辅食-英吉利-米粉,,,,,,,,,,,,1,英吉利旗舰店,天猫商城,,type$|,未打标签,7047,,没有敢给宝宝吃看上去不像正品,英吉利米粉婴儿米粉米糊婴幼儿AD钙铁锌小米米粉宝宝辅食营养米粉,英吉利米粉婴儿米粉米糊婴幼儿AD钙铁锌小米米粉宝宝辅食营养米粉,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:17,,包装,渠道,包装-不怎么好,包装,负面,不怎么好,,,,,1464682620124京东商城|97ab7aa9a52536ceacd47604ed0f5f4bd757e1783a2da7ef12c8cf81208a52b270475512,0,1,嘉宝 米粉,包装|有待|加固,,嘉宝|gerber|婴幼儿|米粉|宝宝辅食|混合|蔬菜|营养米粉|三段|8个|36个|适用|225,,1464682620124京东商城|97ab7aa9a52536ceacd47604ed0f5f4bd757e1783a2da7ef12c8cf81208a52b2,,,,http://club.jd.com/review/1240027-0-1-0.html,,NONE,5512,婴儿辅食-嘉宝-米粉,,,,,,,,,,,,-1,嘉宝（Gerber）京东自营专区,京东商城,,,未打标签,7047,,包装外箱不怎么好，有待加固,嘉宝(Gerber ) 婴幼儿米粉 宝宝辅食 混合蔬菜营养米粉三段(8个月至36个月适用) 225g,嘉宝(Gerber ) 婴幼儿米粉 宝宝辅食 混合蔬菜营养米粉三段(8个月至36个月适用) 225g,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:17,,,,,,,,,,,,1464682644124天猫商城|0f6ddfce8f22f7b577cef2546ff7b43b24c15ed0c8ac8f9b42548e70f11f4b4a70475526,0,0,英氏 磨牙棒,满意|盒子|一盒|看看|一块|半个,,英氏|磨牙棒|婴儿|磨牙棒|饼干|南瓜|胡萝卜|宝宝|磨牙|饼干|宝宝辅食,,1464682644124天猫商城|0f6ddfce8f22f7b577cef2546ff7b43b24c15ed0c8ac8f9b42548e70f11f4b4a,,,,http://detail.tmall.com/item.htm?id=41469605509,,NONE,5526,婴儿辅食-英氏-磨牙棒,,,,,,,,,,,,1,童方元母婴专营店,天猫商城,,type$|,未打标签,7047,,不怎么满意，盒子都扁了，拆了一盒看看还有一块是半个的?,英氏磨牙棒 婴儿磨牙棒饼干南瓜+胡萝卜宝宝磨牙饼干 宝宝辅食,英氏磨牙棒 婴儿磨牙棒饼干南瓜+胡萝卜宝宝磨牙饼干 宝宝辅食,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:19,,,,,,,,,,,,1464682766124天猫商城|cd35707251ce732bddae7911a1241f7b949288c3c84fbf662a019bcbe6ca2ec270475504,0,0,亨氏 米粉,快递|还好,,heinz|米粉|婴儿|营养米粉|400|5盒|婴儿|米粉|套餐|宝宝辅食,,1464682766124天猫商城|cd35707251ce732bddae7911a1241f7b949288c3c84fbf662a019bcbe6ca2ec2,,,,http://detail.tmall.com/item.htm?id=43829310259,,NONE,5504,婴儿辅食-亨氏-米粉,,,,,,,,,,,,1,亨氏官方旗舰店,天猫商城,,type$|,未打标签,7047,,快递有点坑，其他都还好,Heinz/亨氏米粉婴儿营养米粉400g*5盒婴儿米粉荤素套餐 宝宝辅食,Heinz/亨氏米粉婴儿营养米粉400g*5盒婴儿米粉荤素套餐 宝宝辅食,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:20,,货源|回头率,渠道|品牌,[hidden]-正品|[hidden]-再来,[hidden]|[hidden],正面|正面,正品|再来,,,,,1464682800124淘宝网|d85c1590a007d06ad5c284df801714bad1baba25287fde1c18279b5ced48964a70475515,0,0,喜宝 米粉,纸盒包装|卖家|提前|打招呼|觉得|应该|不知|是不是|正品|再来|评价,,汤团|妈妈|德国|喜宝|hipp|2段|6月|进口|宝宝辅食|婴幼儿|7种|谷物|米粉,,1464682800124淘宝网|d85c1590a007d06ad5c284df801714bad1baba25287fde1c18279b5ced48964a,,,,http://item.taobao.com/item.htm?id=19351501238,,NONE,5515,婴儿辅食-喜宝-米粉,,,,,,,,,,,,1,嘉嘉之梦,淘宝网,,,未打标签,7047,,纸盒包装已破，虽然卖家提前有打招呼，但我觉得还是不应该，不知是不是正品，等吃过再来评价,汤团妈妈德国喜宝HIPP2段米糊6月+进口宝宝辅食婴幼儿7种谷物米粉,汤团妈妈德国喜宝HIPP2段米糊6月+进口宝宝辅食婴幼儿7种谷物米粉,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:21,,质量,产品,[hidden]-不是新鲜,[hidden],负面,不是新鲜,,,,,1464682860124京东商城|0ec77a4074be45d565661f4f44fc217f064929009a79e0e039e67b0faca739a970475516,0,1,喜宝 菜泥,好的|日期|2015年|新鲜,,hipp|喜宝|混合|蔬菜|125|6个|婴幼儿|欧洲|原装进口,,1464682860124京东商城|0ec77a4074be45d565661f4f44fc217f064929009a79e0e039e67b0faca739a9,,,,http://club.jd.com/review/1507730-0-1-0.html,,NONE,5516,婴儿辅食-喜宝-泥类,,,,,,,,,,,,1,喜宝京东自营专区,京东商城,,,未打标签,7047,,果泥挺好的！但日期是2015年，不是很新鲜,HiPP喜宝 混合蔬菜泥125g（6个月以上婴幼儿）（欧洲原装进口）,HiPP喜宝 混合蔬菜泥125g（6个月以上婴幼儿）（欧洲原装进口）,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:22,,适应性,产品,[hidden]-上火,[hidden],负面,上火,,,,,1464682920124淘宝网|b8971158eacaabd4563fb993a4fff4cb61073b4e2c914c00109d07c5c361eff570475512,0,0,嘉宝 米粉,准备|喜宝|宝宝|爱吃|一次|太多|主要|容易|上火,,美国进口|宝宝辅食|gerber|燕麦|谷物|营养|婴儿|米粉|2段|227,,1464682920124淘宝网|b8971158eacaabd4563fb993a4fff4cb61073b4e2c914c00109d07c5c361eff5,,,,http://item.taobao.com/item.htm?id=17130137398,,NONE,5512,婴儿辅食-嘉宝-米粉,,,,,,,,,,,,-1,惠津理泰,淘宝网,,,未打标签,7047,,准备换喜宝   宝宝不是很爱吃啊 一次买太多了吧  主要是容易上火,美国进口宝宝辅食 Gerber 嘉宝燕麦谷物营养米糊婴儿米粉2段227g,美国进口宝宝辅食 Gerber 嘉宝燕麦谷物营养米糊婴儿米粉2段227g,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:23,,物流,渠道,物流-挺慢,物流,负面,挺慢,,,,,1464683024124天猫商城|a9be34a9fd38c7d714d6ec0cf2287920b102ea81fc732541de84a272c8c4ca3570475512,0,0,嘉宝 米粉,物流|东西|一顿|还行,,3罐|gerber|美国|嘉宝|1段|dha|米粉|燕麦|米粉|宝宝|食米,,1464683024124天猫商城|a9be34a9fd38c7d714d6ec0cf2287920b102ea81fc732541de84a272c8c4ca35,,,,http://detail.tmall.com/item.htm?id=520867635369,,NONE,5512,婴儿辅食-嘉宝-米粉,,,,,,,,,,,,1,ibaby海外专营店,天猫商城,,type$|,未打标签,7047,,物流挺慢的～东西已经吃了一顿了～还行,【3罐】Gerber美国嘉宝1段DHA米粉*2+纯燕麦米粉*1宝宝辅食米糊,【3罐】Gerber美国嘉宝1段DHA米粉*2+纯燕麦米粉*1宝宝辅食米糊,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:25,,,,,,,,,,,,1464683110124天猫商城|93a25ef4cd9f3bcbf7fcd052bdaa42d80a062bcf854a1d30a0642f43d358fa6f70475526,0,0,英氏 磨牙棒,拿到|宝宝|不到|三分之一|两次|喉咙,,英氏|磨牙棒|婴儿|饼干|2盒|胡萝卜|南瓜|宝宝|磨牙|饼干|6个|辅食,,1464683110124天猫商城|93a25ef4cd9f3bcbf7fcd052bdaa42d80a062bcf854a1d30a0642f43d358fa6f,,,,http://detail.tmall.com/item.htm?id=38014402809,,NONE,5526,婴儿辅食-英氏-磨牙棒,,,,,,,,,,,,-1,英氏旗舰店,天猫商城,,type$|,未打标签,7047,,拿到给宝宝咬，不到三分之一就卡了两次喉咙，,英氏磨牙棒 婴儿饼干2盒(胡萝卜+南瓜) 宝宝磨牙饼干 6个月辅食,英氏磨牙棒 婴儿饼干2盒(胡萝卜+南瓜) 宝宝磨牙饼干 6个月辅食,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:25,,,,,,,,,,,,1464683118124天猫商城|a65b580d59d723ac0d8d99229af3a9faa90c1e88147f8c03a1b4f74720d945d970475505,0,0,亨氏 磨牙棒,不错|太小|一盒|八条|看看|图片吧,,heinz|婴儿|牛奶|谷物|磨牙棒|64|宝宝|磨牙|饼干|辅食|6个|宝宝|零嘴,,1464683118124天猫商城|a65b580d59d723ac0d8d99229af3a9faa90c1e88147f8c03a1b4f74720d945d9,,,,http://detail.tmall.com/item.htm?id=18608251181,,NONE,5505,婴儿辅食-亨氏-磨牙棒,,,,,,,,,,,,1,云沁母婴专营店,天猫商城,,type$|,未打标签,7047,,还不错！就是太小了！一盒八条！看看图片吧！,Heinz/亨氏婴儿牛奶谷物磨牙棒64g宝宝磨牙饼干辅食6个月宝宝零嘴,Heinz/亨氏婴儿牛奶谷物磨牙棒64g宝宝磨牙饼干辅食6个月宝宝零嘴,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:26,,,,,,,,,,,,1464683160124京东商城|8e6a5c6802427d40c750ceeb6f30964e1dd22b43d842dd51497c09bd5fd9231970475527,0,1,亨氏 面条,用料,,heinz|金装智|牛肉|蔬菜|营养|面条|336,,1464683160124京东商城|8e6a5c6802427d40c750ceeb6f30964e1dd22b43d842dd51497c09bd5fd92319,,,,http://club.jd.com/review/591588-0-4-0.html,,NONE,5527,婴儿辅食-亨氏-面类,,,,,,,,,,,,0,亨氏自营旗舰店,京东商城,,,未打标签,7047,,没用料包,亨氏 (Heinz) 金装智多多牛肉蔬菜营养面条 336g,亨氏 (Heinz) 金装智多多牛肉蔬菜营养面条 336g,,,,,0
,,,,peiling-亨氏,,,,,,2016/5/31 16:27,,适应性,产品,[hidden]-便秘,[hidden],负面,便秘,,,,,1464683220124淘宝网|d5ee4cbae2cf629f65156e90468e78359a53c038f24ea5bdb6b4a281409a9ada70475513,0,0,嘉宝 果泥,宝宝|便秘|可惜|吃了没|效果,,进口|美国|嘉宝|gerber|阶段|一段|西梅泥|宝宝辅食|零食|婴幼儿,,1464683220124淘宝网|d5ee4cbae2cf629f65156e90468e78359a53c038f24ea5bdb6b4a281409a9ada,,,,http://item.taobao.com/item.htm?id=530154753738,,NONE,5513,婴儿辅食-嘉宝-泥类,,,,,,,,,,,,-1,mikihui510,淘宝网,,,未打标签,7047,,宝宝便秘，可惜吃了没效果，还是不拉！,进口美国嘉宝GERBER 1阶段一段西梅泥 宝宝辅食零食泥 婴幼儿果泥,进口美国嘉宝GERBER 1阶段一段西梅泥 宝宝辅食零食泥 婴幼儿果泥,,,,,-1
,,,,peiling-亨氏,,,,,,2016/5/31 16:28,,,,,,,,,,,,1464683280124京东商城|2fc3b2c965c142470b204af7a96d26ca1e032629bc18b72ad5cd8a85f111595070475527,0,1,亨氏 面条,没见|颌面,,heinz|金装智|牛肉|蔬菜|营养|面条|336,,1464683280124京东商城|2fc3b2c965c142470b204af7a96d26ca1e032629bc18b72ad5cd8a85f1115950,,,,http://club.jd.com/review/591588-0-4-0.html,,NONE,5527,婴儿辅食-亨氏-面类,,,,,,,,,,,,0,亨氏自营旗舰店,京东商城,,,未打标签,7047,,没见着 自己颌面 弄的多香 吃这个干啥,亨氏 (Heinz) 金装智多多牛肉蔬菜营养面条 336g,亨氏 (Heinz) 金装智多多牛肉蔬菜营养面条 336g,,,,,-1
