内容,标题,文章链接,发表日期,抓取来源,搜索关键词,性别,出生日期,省份,总互动量,赛事
回复:tb1 巴辛斯基 辛吉斯64 64 tb2 科贝尔75 63 tb3 科维托娃63 64 tb4 萨法洛娃 斯特里科娃75 16 75 tb5 德尔波特罗75 64 tb6 锦织圭64 26 64 tb7 纳达尔64 64,【2016网球竞猜吧】巴西奥运会单打vs赛事贴,http://tieba.baidu.com/p/4717520794?pn=3,2016-08-12 15:27:00,百度贴吧,巴西 奥运,,,,179,
白毛浮绿水，为啥不换水？,里约泳池水变绿 美游泳名将白发被染绿色,http://ent.sina.com.cn/s/u/2016-08-12/doc-ifxuxnak0047447.shtml,2016-08-12 15:27:11,新浪娱乐,奥运,,,北京,0,
呵呵呵，这词还是分在谁的身上体现出来吧，什么时候能少些铜臭味？,“洪荒之力”商标已遭人抢注：仅花4000元,http://ent.sina.com.cn/s/m/2016-08-12/doc-ifxuxnak0084350.shtml,2016-08-12 15:27:26,新浪娱乐,奥运,,,天津,2,
回复:看来楼上有个比国内媒体 游协知道的更多的全知全能啊,第三十一届巴西里约热内卢奥运会大b吧综合讨论帖,http://tieba.baidu.com/p/4714874804?pid=95901656054&cid=95908453550#95908453550,2016-08-12 15:28:00,百度贴吧,巴西 奥运,,,,48894,
哈哈哈哈哈哈哈哈哈哈我的妈呀真的假的不要骗我,里约泳池水变绿 美游泳名将白发被染绿色,http://ent.sina.com.cn/s/u/2016-08-12/doc-ifxuxnak0047447.shtml,2016-08-12 15:28:03,新浪娱乐,奥运,,,上海,0,
评论神了2333,里约泳池水变绿 美游泳名将白发被染绿色,http://ent.sina.com.cn/s/u/2016-08-12/doc-ifxuxnak0047447.shtml,2016-08-12 15:28:35,新浪娱乐,奥运,,,湖北,0,
绿帽子即视感马上呈现,里约泳池水变绿 美游泳名将白发被染绿色,http://e.ent.163.com/docs/2/2016081209/BU8PK5LV00031H2L.html,2016-08-12 15:28:49,网易娱乐,奥运,,,广东,0,
　　原标题：肯尼亚教练冒充选手提供尿液采样 背后还有“故事” 　　中新网8月12日电 据外媒报道，肯尼亚田径队一位教练，“阴差阳错地”在里约奥运会期间冒充选手，提供尿液给大会方检验。消息公布后，这位教练也被迫提早打包回国。 　　报道称，肯尼亚田径队的教练安兹拉，冒充有得牌希望的男子八百米选手罗帝奇接受尿液检测，罗帝奇去年在世锦赛这个项目曾得到第四名。 　　不过罗帝奇的经纪人说，他是把证件借给教练，好让教练进选手村餐厅免费吃饭。 　　不料教练在用餐的时候，一个药检员要他去验尿，他当时不好说自己在吃霸王餐，只好将错就错。 　　不过，不管这番说辞外界信不信，肯尼亚奥委会早早行动起来，没等国际奥委会作出处罚，就决定立刻让这名违规教练回国。 责任编辑：向昌明 SN123,肯尼亚教练冒充奥运选手提供尿液采样,http://news.sina.com.cn/o/2016-08-12/doc-ifxuxnpy9432172.shtml,2016-08-12 15:29:00,新浪新闻,奥运,,,,5,田径
回复：举重这个之前看不是说对手比咱们厉害吗,里约奥运会全景直播,http://tieba.baidu.com/p/4706743665?pn=30,2016-08-12 15:39:58,百度贴吧,奥运,,,,0,举重
回复:只说一句，泳协和嗑药的运动员都是傻逼,【巴西里约热内卢奥运会开幕式暨奥运赛事、奖牌榜、综合讨论,http://tieba.baidu.com/p/4713186439?pn=216,2016-08-12 15:40:00,百度贴吧,巴西 奥运,,,,9411,
wwwwww,里约泳池水变绿 美游泳名将白发被染绿色,http://ent.sina.com.cn/s/u/2016-08-12/doc-ifxuxnak0047447.shtml,2016-08-12 15:40:16,新浪娱乐,奥运,,,江苏,0,
感觉好高啊,“洪荒少女”傅园慧私底下居然长这样…,http://e.ent.163.com/docs/2/2016081208/BU8NJ4EG00031H2L.html,2016-08-12 15:40:21,网易娱乐,奥运,,,河南,0,
还是那句时代的定语：“都是钱闹的”。没有好的制度管控，见钱忘义，好人也能变成坏人，好事也能变成坏事。,金钱？体制？揭宁泽涛里约奥运行背后故事,http://ent.sina.com.cn/s/m/2016-08-12/doc-ifxuxnah3294823.shtml,2016-08-12 15:40:50,新浪娱乐,奥运,,,天津,9,
