水饺	水饺,云吞,馄饨,饺子
汤圆	汤圆,元宵
面点	包子,花卷,馒头,港式点心,饼类,面条
火锅丸串	鱼丸,肉卷,肉肠,肉丸,贡丸
速冻半成品	速冻小吃,油炸半成品,菜式半成品
奶酪	芝士,奶酪,黄油,奶油
膨化食品	萨其马,薯片,虾条,小米锅巴,虾片,薯条,老灶锅巴,雪饼,仙贝,麻花,米果卷,烤馍,小馒头
果冻布丁	果冻,布丁,龟苓膏
豆类制品	豆腐干,鸡蛋干,辣条
海味即食	海苔,鱼干,鱿鱼丝
坚果炒货	碧根果,夏威夷果,开心果,腰果,松子,杏仁,核桃,榛子,瓜子,混合干果,花生,板栗,核桃仁,小银杏,白果,香榧
即食肉类	猪肉脯,猪肉肠,猪肉松,猪肉干
即食肉类	牛肉条,牛肉粒,牛板筋,牛肉丝,牛肉脯,牛肉干,手撕牛肉
即食肉类	鸭脖,鸭锁骨,鸭舌,鸭掌,鸭翅,鸭腿,鸭肝,鸭头,鸭胗
即食肉类	凤爪,鸭腿,鸡翅,翅尖,鸡胗,鸡脖
即食肉类	鱼仔,烤鱼片,鱿鱼丝,鱼排,鱼骨头,鱼肠,鱼干
蜜饯果干	和田枣,灰枣
蜜饯果干	芋头条,地瓜干,紫薯,番薯,小甘薯
蜜饯果干	山楂条,果丹皮,山楂条,山楂糕,山楂干,冰糖葫芦,山楂凉果,山楂片
蜜饯果干	葡萄干,芒果干,无花果干,香蕉片,什锦蔬果干,菠萝蜜,猕猴桃干,菠萝,椰子片,柿饼,桃干,凤梨
蜜饯果干	话梅,青梅,杨梅,乌梅,西梅,情人梅,茶梅,酸梅,冰梅,草莓干,蔓越莓干
糖果	口香糖,太妃糖,奶糖,水果糖,润喉糖,薄荷糖,牛轧糖,软糖,棉花糖,棒棒糖,喜糖,果仁糖,酥糖
巧克力	饼干巧克力,白巧克力,夹心巧克力,松露巧克力,牛奶巧克力,果仁巧克力,黑巧克力,酒心巧克力
